prop,pmin,pmax,a,n
kndx,0.10000000000000,0.77913500000000,8.87544496778536,0.61930000000000
kndx,0.77913500000000,2.57183500000000,7.55278442387944,-0.00870000000000
kndx,2.57183500000000,5.92970000000000,3.84087990499602,0.68820000000000
kndx,5.92970000000000,8.50153500000000,17.20418640980620,-0.14810000000000
kndx,8.50153500000000,11.20437500000000,4.77524086347659,0.44170000000000
knsbf,0.10100000000000,0.80671500000000,10.70768379803310,0.62470000000000
knsbf,0.80671500000000,1.50311000000000,8.76328007101773,-0.31420000000000
knsbf,1.50311000000000,3.79225000000000,7.85216579497841,-0.01300000000000
knsbf,3.79225000000000,7.03290000000000,3.90676830413905,0.53540000000000
knsbf,7.03290000000000,10.67346000000000,9.65320361987685,0.06380000000000
knsbc,0.10100000000000,10.30000000000000,5.13000000000000,0.22000000000000
knsu,0.10100000000000,10.30000000000000,8.26000000000000,0.31900000000000
knerc,0.00000000000000,11.00000000000000,2.90000000000000,0.40000000000000
knpsb,0.00000000000000,10.30000000000000,6.50000000000000,0.62800000000000
knfr,14.00000000000000,10.30000000000000,7.40000000000000,0.25000000000000
