a,b,c,d,e,f,g,,
43.500000,0.241680,50.484130,-9.911480,0.000000,0.000000,0.000000,KNDX1,0.000000
163.800000,22.224140,-0.224000,0.000000,0.000000,0.000000,0.000000,KNDX2,1.000000
5095.000000,-2460.426000,453.480500,-35.532390,1.017450,0.000000,0.000000,KNDX3,2.000000
34.500000,-10.975000,69.667000,-19.664000,2.147800,-0.081463,0.000000,KNSB fine,3.000000
32.953900,44.107900,-1.102480,0.000000,0.000000,0.000000,0.000000,KNSU,4.000000
50.410353,211.194019,-47.797596,8.779018,-0.830282,0.030519,0.000000,KNER coarse,5.000000
38.000000,92.391000,-2.043800,0.000000,0.000000,0.000000,0.000000,KNMN coarse,6.000000
39.748000,51.618000,-0.926400,0.000000,0.000000,0.000000,0.000000,KNFR,7.000000
54.530000,33.652000,-3.418500,0.154500,0.000000,0.000000,0.000000,KNPSB,8.000000
32.953900,44.107900,-1.102480,0.000000,0.000000,0.000000,0.000000,KNSUGEPROP,9.000000
